dma,geoCode,2004+cancer,2004+cardiovascular,2004+stroke,2004+depression,2004+rehab,2004+vaccine,2004+diarrhea,2004+obesity,2004+diabetes,2006+cancer,2006+cardiovascular,2006+stroke,2006+depression,2006+rehab,2006+vaccine,2006+diarrhea,2006+obesity,2006+diabetes
Portland-Auburn ME,500,44,6,17,39,21,31,14,29,38,55,23,26,25,38,48,48,19,44
New York NY,501,47,6,13,38,16,33,12,27,32,49,18,18,20,26,38,37,22,33
Binghamton NY,502,48,3,16,50,12,37,24,31,37,54,19,26,27,20,35,34,30,26
Macon GA,503,44,14,14,37,19,49,14,29,31,44,24,23,18,39,50,46,29,39
Philadelphia PA,504,52,7,16,41,23,36,14,30,37,57,24,23,23,40,42,44,24,40
Detroit MI,505,47,6,16,45,14,31,15,27,34,52,21,23,24,27,34,38,25,36
Boston MA-Manchester NH,506,48,6,15,38,25,34,14,27,37,56,20,23,22,46,44,40,21,38
Savannah GA,507,43,11,17,37,28,43,10,45,26,48,23,31,24,30,37,46,29,35
Pittsburgh PA,508,51,10,17,50,23,34,16,35,43,58,23,25,25,37,42,41,32,44
Ft. Wayne IN,509,42,4,14,50,15,25,15,25,36,51,17,26,26,24,48,37,26,38
Cleveland-Akron (Canton) OH,510,42,6,16,44,18,26,14,25,36,50,20,22,22,30,31,48,21,38
Washington DC (Hagerstown MD),511,47,5,15,33,15,46,11,31,37,51,21,21,18,27,55,40,23,38
Baltimore MD,512,51,9,18,44,18,44,16,29,40,55,26,22,24,38,53,48,26,40
Flint-Saginaw-Bay City MI,513,43,8,17,50,12,34,19,48,31,50,22,26,28,19,33,38,30,33
Buffalo NY,514,49,5,20,49,18,25,16,26,37,57,17,24,29,31,34,40,29,38
Cincinnati OH,515,45,6,18,43,17,25,15,28,39,51,19,23,23,29,37,41,22,42
Erie PA,516,53,14,17,50,25,43,8,53,44,61,23,29,32,21,43,52,38,47
Charlotte NC,517,43,7,16,39,21,29,16,25,35,47,15,23,23,36,32,44,26,38
Greensboro-High Point-Winston Salem NC,518,47,10,15,45,24,29,13,32,37,54,20,22,21,35,33,45,30,43
Charleston SC,519,55,14,20,42,16,23,15,15,42,57,38,28,18,34,32,66,24,48
Augusta GA,520,48,12,26,39,18,24,14,33,37,50,24,28,21,41,15,53,31,52
Providence RI-New Bedford MA,521,43,3,16,45,20,36,17,20,32,48,18,20,25,37,38,41,22,38
Columbus GA,522,41,7,17,46,25,33,14,64,39,53,24,21,23,20,47,35,35,49
Burlington VT-Plattsburgh NY,523,49,6,14,53,21,44,10,43,38,55,27,22,28,36,56,44,25,40
Atlanta GA,524,42,6,15,35,19,36,13,23,36,50,21,21,20,34,36,40,19,37
Albany GA,525,44,5,12,43,27,24,16,18,46,48,32,23,25,40,28,28,27,41
Utica NY,526,42,19,19,63,31,100,19,49,29,46,33,26,24,42,33,24,38,29
Indianapolis IN,527,49,10,17,47,16,31,15,38,45,54,26,25,25,28,37,46,32,48
Miami-Ft. Lauderdale FL,528,37,7,11,29,17,28,7,20,34,43,20,19,16,29,30,30,17,34
Louisville KY,529,49,5,13,42,25,15,11,43,39,50,22,24,21,39,35,38,27,38
Tallahassee FL-Thomasville GA,530,45,13,18,45,13,37,16,36,37,52,28,28,23,38,41,57,38,47
Tri-Cities TN-VA,531,37,9,15,37,15,40,14,24,31,51,22,27,22,46,32,43,28,44
Albany-Schenectady-Troy NY,532,47,7,14,49,18,34,19,26,31,52,21,22,24,31,39,41,24,39
Hartford & New Haven CT,533,52,6,16,51,21,43,14,34,35,52,19,25,25,35,46,45,27,40
Orlando-Daytona Beach-Melbourne FL,534,39,4,16,32,18,24,11,21,30,45,17,23,18,30,27,41,17,34
Columbus OH,535,46,6,14,43,17,36,14,23,34,53,19,21,22,29,38,42,25,38
Youngstown OH,536,45,6,12,79,25,27,9,56,29,49,9,29,31,24,31,50,43,34
Bangor ME,537,49,13,21,74,14,62,11,48,44,54,32,22,41,23,40,38,47,43
